date,dl_ue_throughput_num,dl_ue_throughput_den,cell_name
2023-08-23T19:00:00-05:00,431048608.384,71888.638,L-401216-33
2023-08-23T23:00:00-05:00,343193979.272,42981.806,L-401216-33
2023-08-24T03:00:00-05:00,173767133.144,10156.475,L-401216-33
2023-08-24T07:00:00-05:00,273428685.936,27134.557999999997,L-401216-33
2023-08-24T11:00:00-05:00,446342137.152,60193.111,L-401216-33
2023-08-24T15:00:00-05:00,548538838.064,88839.602,L-401216-33
2023-08-24T19:00:00-05:00,461897032.71999997,68589.118,L-401216-33
2023-08-24T23:00:00-05:00,345941849.8000001,41173.840000000004,L-401216-33
2023-08-25T03:00:00-05:00,169644224.864,9985.931999999999,L-401216-33
2023-08-25T07:00:00-05:00,248638056.176,25743.979,L-401216-33
2023-08-25T11:00:00-05:00,490305163.728,63131.426999999996,L-401216-33
2023-08-25T15:00:00-05:00,525685873.752,90749.939,L-401216-33
2023-08-25T19:00:00-05:00,450489069.984,70829.983,L-401216-33
2023-08-25T23:00:00-05:00,319775490.96,36342.745,L-401216-33
2023-08-26T03:00:00-05:00,173386783.07999998,10864.005000000001,L-401216-33
2023-08-26T07:00:00-05:00,242865094.744,17214.377,L-401216-33
2023-08-26T11:00:00-05:00,496363821.72,63194.596999999994,L-401216-33
2023-08-26T15:00:00-05:00,457930421.456,74263.665,L-401216-33
2023-08-26T19:00:00-05:00,370514887.536,38267.67,L-401216-33
2023-08-26T23:00:00-05:00,309115473.52,30388.408999999996,L-401216-33
2023-08-27T03:00:00-05:00,159836711.37600002,9625.841999999999,L-401216-33
2023-08-27T07:00:00-05:00,140105553.904,5539.147999999999,L-401216-33
2023-08-27T11:00:00-05:00,339907603.608,31841.083000000002,L-401216-33
2023-08-27T15:00:00-05:00,360956781.9760001,39550.027,L-401216-33
2023-08-27T19:00:00-05:00,296475621.488,29395.647,L-401216-33
2023-08-27T23:00:00-05:00,298673984.936,33746.572,L-401216-33
2023-08-28T03:00:00-05:00,132823499.19999999,9010.851,L-401216-33
2023-08-28T07:00:00-05:00,250343495.712,25075.884,L-401216-33
2023-08-28T11:00:00-05:00,459459658.184,57118.288,L-401216-33
2023-08-28T15:00:00-05:00,514510747.752,90828.395,L-401216-33
2023-08-28T19:00:00-05:00,440098320.824,59253.356,L-401216-33
2023-08-28T23:00:00-05:00,370378615.416,54283.243,L-401216-33
2023-08-29T03:00:00-05:00,164294588.64000002,8281.685,L-401216-33
2023-08-29T07:00:00-05:00,230849351.072,24523.804,L-401216-33
2023-08-29T11:00:00-05:00,462716045.01600003,60374.100999999995,L-401216-33
2023-08-29T15:00:00-05:00,479334152.20000005,75852.294,L-401216-33
2023-08-29T19:00:00-05:00,419903226.76800007,58692.257000000005,L-401216-33
2023-08-29T23:00:00-05:00,330714955.704,33168.498999999996,L-401216-33
2023-08-30T03:00:00-05:00,135201272.44799998,6334.003999999999,L-401216-33
2023-08-30T07:00:00-05:00,224569269.776,22569.759000000002,L-401216-33
2023-08-30T11:00:00-05:00,473356402.264,65140.707,L-401216-33
2023-08-30T15:00:00-05:00,503547624.67999995,85854.269,L-401216-33
2023-08-30T19:00:00-05:00,431876844.33599997,58240.834,L-401216-33
2023-08-30T23:00:00-05:00,311234431.984,39789.462,L-401216-33
2023-08-31T03:00:00-05:00,150769192.016,6755.027,L-401216-33
2023-08-31T07:00:00-05:00,224140156.616,19477.277000000002,L-401216-33
2023-08-31T11:00:00-05:00,463996077.02400005,51716.32000000001,L-401216-33
2023-08-31T15:00:00-05:00,488941506.952,79406.95000000001,L-401216-33
2023-08-31T19:00:00-05:00,437109839.888,58000.564,L-401216-33
2023-08-31T23:00:00-05:00,319806152.80799997,33741.264,L-401216-33
2023-09-01T03:00:00-05:00,152112521.704,7154.468000000001,L-401216-33
2023-09-01T07:00:00-05:00,274215952.792,30816.297,L-401216-33
2023-09-01T11:00:00-05:00,436562178.0,49970.45,L-401216-33
2023-09-01T15:00:00-05:00,479447154.816,82543.369,L-401216-33
2023-09-01T19:00:00-05:00,406869405.52,45604.441999999995,L-401216-33
2023-09-01T23:00:00-05:00,352958565.03999996,42496.217000000004,L-401216-33
2023-09-02T03:00:00-05:00,184266267.71199998,8763.562,L-401216-33
2023-09-02T07:00:00-05:00,209772849.33600003,12065.52,L-401216-33
2023-09-02T11:00:00-05:00,439359806.536,56562.733,L-401216-33
2023-09-02T15:00:00-05:00,483489687.528,68174.01299999999,L-401216-33
2023-09-02T19:00:00-05:00,362576840.92,37102.255,L-401216-33
2023-09-02T23:00:00-05:00,245966330.768,23826.794,L-401216-33
2023-09-03T03:00:00-05:00,193650223.432,10948.248,L-401216-33
2023-09-03T07:00:00-05:00,137896745.24,5987.591,L-401216-33
2023-09-03T11:00:00-05:00,355196339.848,29280.72,L-401216-33
2023-09-03T15:00:00-05:00,403621295.85599995,47983.039000000004,L-401216-33
